cus_Gender,cus_MartialTypeId,cus_Dependants,cus_CurrenResTypeId,cus_CurrenStyYear,cus_CustomerType,cus_Age,IndustryType,CustomerProfile,CustomerSegment,MarketType,MarketNoofYearsinBusiness,app_CustProductCatTypeId,app_CustTenure,app_CustInstalCount,app_CustChasAsset,app_CustChasInitial,app_CustChasFinance,app_CustFinanInterest,app_CustEMI,app_CustGrossLoan,app_CustViaIncomEstIncPm,app_CustViaExpTotExpense,app_CustViaGrossSurplus,app_CustUVAge,app_CustBrandTypeId,app_CustBankClosBal,Label
M,2750,7,2755,22,596,46,1783,2693,2695,2729,6,531,48,47,686444,71444,615000,7,16765.82,787993.6,59400,9505,49895,0,746,16765.82,Pay
M,2750,3,2755,50,596,29,604,2693,2695,2729,5,529,35,34,227000,72000,155000,12.5,6305.85,214399.23,21000,3570,17430,0,746,6305.85,Pay
M,2750,4,2755,20,596,25,1783,2693,2695,2729,10,531,48,47,619768,31766,588002,7.3,16180.84,760499.62,77000,26900,50100,0,564,16180.84,Pay
M,2750,4,2755,30,596,33,1783,2693,2695,2729,,531,42,41,592000,342000,250000,7,7610.29,312021.9,66000,27700,38300,0,564,7610.29,Pay
M,2750,4,2755,15,596,25,1783,2693,2695,2729,6,531,48,47,619766,62766,557000,7.2,15281.16,718214.56,66000,24100,41900,0,564,15281.16,Pay
M,2750,3,2755,50,596,35,605,2693,2695,2730,2,531,35,34,424428,116771,307657,8.1,11351.68,385957.25,60000,10295,49705,0,746,11351.68,Pay
M,2750,3,2755,50,596,38,604,2693,2695,2729,,529,30,29,222500,38738,183762,11.3,8282.29,240186.6,45000,13388,31612,0,746,8282.29,Pay
M,2750,7,2755,20,596,42,604,2693,2695,2729,12,529,36,35,227000,27000,200000,12,7970.1,278953.68,36000,15040,20960,0,746,7970.1,Pay
M,2750,3,2755,30,596,29,604,2693,2695,2729,8,529,35,34,227000,47000,180000,11.5,7162.5,243525.24,45000,8110,36890,0,746,7162.5,Pay
M,2750,4,2755,14,596,22,604,2693,2695,2729,4,529,36,35,227000,27000,200000,12,7863.09,275208.23,60000,20714,39286,0,746,7863.09,Pay
